Wakulla County,30776,30.140378,-84.375136
Walton County,55043,30.631211,-86.176614
Washington County,24896,30.602217,-85.662797
Appling County,18236,31.739712,-82.290103
Atkinson County,8375,31.300562,-82.883614
Bacon County,11096,31.563327,-82.387859
Baker County,3451,31.319622,-84.454857
Baldwin County,45720,33.059532,-83.255362
Banks County,18395,34.351922,-83.498441
Barrow County,69367,33.992009,-83.712303
Bartow County,100157,34.240917,-84.838188
Ben Hill County,17634,31.740775,-83.14719
Berrien County,19286,31.274308,-83.231906
Bibb County,155547,32.808844,-83.694193
Bleckley County,13063,32.435403,-83.331717
Brantley County,18411,31.197334,-81.982978
Brooks County,16243,30.833696,-83.588971
Bryan County,30233,32.017969,-81.438543
Bulloch County,70217,32.393408,-81.74381
Burke County,23316,33.063736,-82.00389
Butts County,23655,33.290355,-83.958221
Calhoun County,6694,31.521279,-84.62629
Camden County,50513,30.916358,-81.636516
Candler County,10998,32.403986,-82.071446
Carroll County,110527,33.582237,-85.080527
Catoosa County,63942,34.899393,-85.137353
Charlton County,12171,30.779904,-82.139644
Chatham County,265128,31.974755,-81.091768
Chattahoochee County,11267,32.347445,-84.788021
Chattooga County,26015,34.474178,-85.345289
Cherokee County,214346,34.244317,-84.475057
Clarke County,116714,33.952234,-83.36713
Clay County,3183,31.619831,-84.992583
Clayton County,259424,33.552242,-84.412977
Clinch County,6798,30.917653,-82.702614
Cobb County,688078,33.93994,-84.574166
Coffee County,42356,31.549245,-82.844938
Colquitt County,45498,31.189758,-83.769741
Columbia County,124053,33.550556,-82.251342
Cook County,17212,31.152935,-83.429551
Coweta County,127317,33.352897,-84.762138
Crawford County,12630,32.709446,-83.979182
Crisp County,23439,31.914753,-83.753338
Dade County,16633,34.852424,-85.506201
Dawson County,22330,34.442842,-84.173284
Decatur County,27842,30.877961,-84.577744
DeKalb County,691893,33.770661,-84.226343
Dodge County,21796,32.160656,-83.156818
Dooly County,14918,32.151995,-83.807167
Dougherty County,94565,31.535068,-84.214444
Douglas County,132403,33.699317,-84.765944
Early County,11008,31.324191,-84.906723
Echols County,4034,30.7085,-82.836132
Effingham County,52250,32.361711,-81.343337
Elbert County,20166,34.115017,-82.842057
Emanuel County,22598,32.5911,-82.299763
Evans County,11000,32.151902,-81.887618
Fannin County,23682,34.863837,-84.319287
Fayette County,106567,33.412717,-84.493941
Floyd County,96317,34.263677,-85.21373
Forsyth County,175511,34.225143,-84.127336
Franklin County,22084,34.375155,-83.22729
Fulton County,920581,33.790034,-84.468182
Gilmer County,28292,34.690541,-84.453984
Glascock County,3082,33.227491,-82.606913
Glynn County,79626,31.212746,-81.496517
Gordon County,55186,34.509667,-84.873862
Grady County,25011,30.875863,-84.244772
Greene County,15994,33.576836,-83.167103
Gwinnett County,805321,33.959101,-84.022938
Habersham County,43041,34.635108,-83.526406
Hall County,179684,34.317588,-83.818497
Hancock County,9429,33.26922,-83.000465
Haralson County,28780,33.795165,-85.220062
Harris County,32024,32.731549,-84.912432
Hart County,25213,34.348733,-82.96329
Heard County,11834,33.290968,-85.139594
Henry County,203922,33.452881,-84.15444
Houston County,139900,32.458381,-83.662856
Irwin County,9538,31.604306,-83.277037
Jackson County,60485,34.134157,-83.565133
Jasper County,13900,33.314905,-83.687892
Jeff Davis County,15068,31.811615,-82.636825
Jefferson County,16930,33.051874,-82.41905
Jenkins County,8340,32.794563,-81.971524
Johnson County,9980,32.689831,-82.661354
Jones County,28669,33.020226,-83.562339
Lamar County,18317,33.07446,-84.146721
Lanier County,10078,31.038197,-83.063164
Laurens County,48434,32.39322,-82.926317
Lee County,28298,31.818419,-84.146681
Liberty County,63453,31.807244,-81.457969
Lincoln County,7996,33.792151,-82.448299
Long County,14464,31.749563,-81.74287
Lowndes County,109233,30.83368,-83.268967
Lumpkin County,29966,34.568149,-83.998827
McDuffie County,21875,33.482464,-82.473188
McIntosh County,14333,31.482978,-81.370199
Macon County,14740,32.366216,-84.052162
Madison County,28120,34.128485,-83.203637
Marion County,8742,32.359538,-84.529561
Meriwether County,21992,33.03022,-84.663279
Miller County,6125,31.162908,-84.730386
Mitchell County,23498,31.22894,-84.192407
Monroe County,26424,33.017435,-83.922938
Montgomery County,9123,32.172108,-82.533349
Morgan County,17868,33.593732,-83.492324
Murray County,39628,34.797097,-84.73799
Muscogee County,189885,32.510197,-84.874946
Newton County,99958,33.544045,-83.855189
Oconee County,32808,33.834125,-83.437728
Oglethorpe County,14899,33.866806,-83.074081
Paulding County,142324,33.920903,-84.866979
Peach County,27695,32.571324,-83.831978
Pickens County,29431,34.456621,-84.490256
Pierce County,18758,31.353988,-82.210427
Pike County,17869,33.090768,-84.386627
Polk County,41475,33.995961,-85.186826
Pulaski County,12010,32.238794,-83.481855
Putnam County,21218,33.32106,-83.37179
Quitman County,2513,31.861487,-85.009317
Rabun County,16276,34.883026,-83.404735
Randolph County,7719,31.762651,-84.752311
Richmond County,200549,33.361487,-82.074998
Rockdale County,85215,33.652081,-84.02637
Schley County,5010,32.263441,-84.322724
Screven County,14593,32.744751,-81.617585
Seminole County,8729,30.933894,-84.867592
Spalding County,64073,33.262389,-84.286067
Stephens County,26175,34.552914,-83.290216
Stewart County,6058,32.073225,-84.834912
Sumter County,32819,32.042203,-84.204283
Talbot County,6865,32.704603,-84.530029
Taliaferro County,1717,33.559314,-82.875208
Tattnall County,25520,32.043768,-82.059208
Taylor County,8906,32.554667,-84.251426
Telfair County,16500,31.913639,-82.931062
Terrell County,9315,31.777191,-84.439446
Thomas County,44720,30.864616,-83.919783
Tift County,40118,31.457003,-83.525931
Toombs County,27223,32.126698,-82.332071
Towns County,10471,34.90265,-83.732158
Treutlen County,6885,32.409586,-82.570882
Troup County,67044,33.034482,-85.02836
Turner County,8930,31.718232,-83.628566
Twiggs County,9023,32.665847,-83.425879
Union County,21356,34.83377,-83.989573
Upson County,27153,32.881837,-84.292281
Walker County,68756,34.735827,-85.305385
Walton County,83768,33.782648,-83.734215
Ware County,36312,31.050881,-82.421507
Warren County,5834,33.419169,-82.688012
Washington County,21187,32.971848,-82.798112
Wayne County,30099,31.547845,-81.912376
Webster County,2799,32.046554,-84.553218
Wheeler County,7421,32.109276,-82.738701
White County,27144,34.643677,-83.743713
Whitfield County,102599,34.801726,-84.968541
Wilcox County,9255,31.962717,-83.438262
Wilkes County,10593,33.77904,-82.747922
Wilkinson County,9563,32.804321,-83.175587
Worth County,21679,31.551773,-83.84996
Hawaii County,185079,19.597764,-155.502443
Honolulu County,953207,21.461364,-158.201976
Kalawao County,90,21.218764,-156.97401
Kauai County,67091,22.012038,-159.705965
Maui County,154834,20.855931,-156.60155
Ada County,392365,43.447861,-116.244456
Adams County,3976,44.884583,-116.431873
Bannock County,82839,42.692938,-112.228986
Bear Lake County,5986,42.285833,-111.327445
Benewah County,9285,47.218451,-116.633541
Bingham County,45607,43.216357,-112.399206
Blaine County,21376,43.394482,-113.95529
Boise County,7028,43.987275,-115.71511
Bonner County,40877,48.312512,-116.59694
Bonneville County,104234,43.395171,-111.621878
Boundary County,10972,48.773065,-116.524619
Butte County,2891,43.6851,-113.177627
Camas County,1117,43.463396,-114.804427
Canyon County,188923,43.623051,-116.708527
Caribou County,6963,42.786273,-111.544171
Cassia County,22952,42.288635,-113.605498
Clark County,982,44.286251,-112.36112
Clearwater County,8761,46.67257,-115.6535
Custer County,4368,44.273341,-114.252251
Elmore County,27038,43.394826,-115.470751
Franklin County,12786,42.173589,-111.822955
